0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:34:10 +0530] "GET /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:34:11 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:37:15 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:37:19 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:37:37 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 500 4308
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:33 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:43 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:44 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:45 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:45 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:47 +0530] "POST /MobileProj/faces/adminwelcome.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:47 +0530] "GET /MobileProj/faces/adminlogin.xhtml HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:50 +0530] "GET /MobileProj/faces/index.xhtml HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:50 +0530] "GET /MobileProj/faces/admin.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:50 +0530] "GET /MobileProj/faces/login.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:50 +0530] "GET /MobileProj/faces/gray.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:52 +0530] "POST /MobileProj/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:52 +0530] "GET /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:55 +0530] "POST /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:55 +0530] "GET /MobileProj/faces/customerwelcome.xhtml HTTP/1.1" 200 4598
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:55 +0530] "GET /MobileProj/faces/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:55 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-soft_44_444444_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:55 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-hard_20_0972a5_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:55 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-soft_35_222222_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:58 +0530] "POST /MobileProj/faces/customerwelcome.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:58 +0530] "GET /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:38:59 +0530] "GET /MobileProj/faces/customerregister.xhtml HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:39:41 +0530] "POST /MobileProj/faces/customerregister.xhtml HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:39:51 +0530] "POST /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "POST /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "GET /MobileProj/faces/customerwelcome.xhtml HTTP/1.1" 200 4595
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "GET /MobileProj/faces/images/ui-bg_loop_25_000000_21x21.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-soft_44_444444_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-soft_35_222222_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:10 +0530] "GET /MobileProj/faces/images/ui-bg_highlight-hard_20_0972a5_1x100.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:14 +0530] "POST /MobileProj/faces/customerwelcome.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:14 +0530] "GET /MobileProj/faces/customerlogin.xhtml HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:19 +0530] "GET /MobileProj/faces/index.xhtml HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:19 +0530] "GET /MobileProj/faces/admin.png HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:19 +0530] "GET /MobileProj/faces/login.jpg HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [04/Nov/2015:20:40:19 +0530] "GET /MobileProj/faces/gray.jpg HTTP/1.1" 404 1021
